row_index,path,role,source,required,exists_now,is_file_now,size_bytes_now,previous_exists,previous_size_bytes,has_previous_sha256,pass
13,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_21_evidence_model_selection_design.py,stage_script,script_inventory,False,True,True,38353,True,38353,True,True
14,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_22_evidence_estimator_preflight.py,stage_script,script_inventory,False,True,True,45184,True,45184,True,True
15,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_23_matched_evidence_estimator_execution_checkpoint.py,stage_script,script_inventory,False,True,True,45036,True,45036,True,True
16,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_24_evidence_result_gate_sensitivity_audit.py,stage_script,script_inventory,False,True,True,39182,True,39182,True,True
17,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_25_formal_evidence_crosscheck_preflight.py,stage_script,script_inventory,False,True,True,48817,True,48817,True,True
18,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_26_formal_evidence_crosscheck_execution_checkpoint.py,stage_script,script_inventory,False,True,True,50902,True,50902,True,True
19,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_27_formal_evidence_result_gate_sensitivity_audit.py,stage_script,script_inventory,False,True,True,44266,True,44266,True,True
20,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_28_formal_evidence_claim_lock_addendum.py,stage_script,script_inventory,False,True,True,38396,True,38396,True,True
21,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_29_external_publication_claim_preflight.py,stage_script,script_inventory,False,True,True,40267,True,40267,True,True
22,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_30_independent_evidence_validation_preflight.py,stage_script,script_inventory,False,True,True,48371,True,48371,True,True
23,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_31_independent_evidence_validation_execution_checkpoint.py,stage_script,script_inventory,False,True,True,58086,True,58086,True,True
24,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_32_independent_evidence_result_gate_publication_lock.py,stage_script,script_inventory,False,True,True,52374,True,52374,True,True
25,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_33_external_evidence_publication_claim_lock_addendum.py,stage_script,script_inventory,False,True,True,39318,True,39318,True,True
26,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_34_publication_grade_replication_preflight.py,stage_script,script_inventory,False,True,True,40297,True,40297,True,True
27,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_9_additional_production_chains_readiness.py,stage_script,script_inventory,False,True,True,46550,True,46550,True,True
28,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,readiness_chain_file;replication_high_value_artifact,chain_inventory;stage3b34_artifact_manifest_csv,True,True,True,542271,True,542271,True,True
29,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,readiness_chain_file;replication_high_value_artifact,chain_inventory;stage3b34_artifact_manifest_csv,True,True,True,542271,True,542271,True,True
30,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,readiness_chain_file;replication_high_value_artifact,chain_inventory;stage3b34_artifact_manifest_csv,True,True,True,646323,True,646323,True,True
31,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,readiness_chain_file;replication_high_value_artifact,chain_inventory;stage3b34_artifact_manifest_csv,True,True,True,646323,True,646323,True,True
32,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b10_first_posterior_summary.json,lineage_json:stage3b10_first_posterior_summary;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,14354,True,14354,True,True
33,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b10_first_posterior_summary_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,4430,True,4430,True,True
34,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b10_first_posterior_summary_posterior_summary.md,replication_high_value_artifact,stage3b34_artifact_manifest_csv,True,True,True,3803,True,3803,True,True
35,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b11_posterior_robustness_comparison.json,lineage_json:stage3b11_posterior_robustness_comparison;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,62173,True,62173,True,True
36,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b11_posterior_robustness_comparison_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,5462,True,5462,True,True
37,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness.json,lineage_json:stage3b18_additional_native_baseline_chains_readiness;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,40364,True,40364,True,True
38,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,10362,True,10362,True,True
39,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_readiness_manifest.json,lineage_manifest:stage3b18_additional_native_baseline_chains_readiness,lineage_core,True,True,True,2551,True,2551,True,True
40,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b19_matched_deu_native_comparison_claim_lock.json,lineage_json:stage3b19_matched_deu_native_comparison_claim_lock;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,23030,True,23030,True,True
41,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b19_matched_deu_native_comparison_claim_lock_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6722,True,6722,True,True
42,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b19_matched_deu_native_comparison_claim_lock_comparison_manifest.json,lineage_manifest:stage3b19_matched_deu_native_comparison_claim_lock,lineage_core,True,True,True,1710,True,1710,True,True
43,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b20_final_scoped_internal_report.json,lineage_json:stage3b20_final_scoped_internal_report;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,28292,True,28292,True,True
44,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b20_final_scoped_internal_report_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,5915,True,5915,True,True
45,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b20_final_scoped_internal_report_final_scoped_report.md,replication_high_value_artifact,stage3b34_artifact_manifest_csv,True,True,True,2829,True,2829,True,True
46,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b20_final_scoped_internal_report_manifest.json,lineage_manifest:stage3b20_final_scoped_internal_report,lineage_core,True,True,True,1654,True,1654,True,True
47,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b22_evidence_estimator_preflight.json,lineage_json:stage3b22_evidence_estimator_preflight;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,27014,True,27014,True,True
48,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b22_evidence_estimator_preflight_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6076,True,6076,True,True
49,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b22_evidence_estimator_preflight_preflight_manifest.json,lineage_manifest:stage3b22_evidence_estimator_preflight,lineage_core,True,True,True,1575,True,1575,True,True
50,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b23_matched_evidence_estimator_execution_checkpoint.json,lineage_json:stage3b23_matched_evidence_estimator_execution_checkpoint;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,21440,True,21440,True,True
51,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b23_matched_evidence_estimator_execution_checkpoint_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6119,True,6119,True,True
52,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b23_matched_evidence_estimator_execution_checkpoint_execution_manifest.json,lineage_manifest:stage3b23_matched_evidence_estimator_execution_checkpoint,lineage_core,True,True,True,1826,True,1826,True,True
53,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b24_evidence_result_gate_sensitivity_audit.json,lineage_json:stage3b24_evidence_result_gate_sensitivity_audit;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,17599,True,17599,True,True
54,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b24_evidence_result_gate_sensitivity_audit_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,3687,True,3687,True,True
55,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b25_formal_evidence_crosscheck_preflight.json,lineage_json:stage3b25_formal_evidence_crosscheck_preflight;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,24793,True,24793,True,True
56,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b25_formal_evidence_crosscheck_preflight_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6987,True,6987,True,True
57,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b25_formal_evidence_crosscheck_preflight_preflight_manifest.json,lineage_manifest:stage3b25_formal_evidence_crosscheck_preflight,lineage_core,True,True,True,2009,True,2009,True,True
58,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b26_formal_evidence_crosscheck_execution_checkpoint.json,lineage_json:stage3b26_formal_evidence_crosscheck_execution_checkpoint;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,29230,True,29230,True,True
59,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b26_formal_evidence_crosscheck_execution_checkpoint_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6809,True,6809,True,True
60,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b26_formal_evidence_crosscheck_execution_checkpoint_execution_manifest.json,lineage_manifest:stage3b26_formal_evidence_crosscheck_execution_checkpoint,lineage_core,True,True,True,1819,True,1819,True,True
61,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b27_formal_evidence_result_gate_sensitivity_audit.json,lineage_json:stage3b27_formal_evidence_result_gate_sensitivity_audit;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,21734,True,21734,True,True
62,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b27_formal_evidence_result_gate_sensitivity_audit_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,7207,True,7207,True,True
63,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b27_formal_evidence_result_gate_sensitivity_audit_gate_manifest.json,lineage_manifest:stage3b27_formal_evidence_result_gate_sensitivity_audit,lineage_core,True,True,True,2044,True,2044,True,True
64,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b28_formal_evidence_claim_lock_addendum.json,lineage_json:stage3b28_formal_evidence_claim_lock_addendum;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,18886,True,18886,True,True
65,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b28_formal_evidence_claim_lock_addendum_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6370,True,6370,True,True
66,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b28_formal_evidence_claim_lock_addendum_addendum_manifest.json,lineage_manifest:stage3b28_formal_evidence_claim_lock_addendum,lineage_core,True,True,True,1581,True,1581,True,True
67,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b29_external_publication_claim_preflight.json,lineage_json:stage3b29_external_publication_claim_preflight;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,21538,True,21538,True,True
68,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b29_external_publication_claim_preflight_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6238,True,6238,True,True
69,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b29_external_publication_claim_preflight_preflight_manifest.json,lineage_manifest:stage3b29_external_publication_claim_preflight,lineage_core,True,True,True,2014,True,2014,True,True
70,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b30_independent_evidence_validation_preflight.json,lineage_json:stage3b30_independent_evidence_validation_preflight;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,24159,True,24159,True,True
71,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b30_independent_evidence_validation_preflight_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,7257,True,7257,True,True
72,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b30_independent_evidence_validation_preflight_preflight_manifest.json,lineage_manifest:stage3b30_independent_evidence_validation_preflight,lineage_core,True,True,True,1828,True,1828,True,True
73,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b31_independent_evidence_validation_execution_checkpoint.json,lineage_json:stage3b31_independent_evidence_validation_execution_checkpoint;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,50230,True,50230,True,True
74,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b31_independent_evidence_validation_execution_checkpoint_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,8204,True,8204,True,True
75,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b31_independent_evidence_validation_execution_checkpoint_execution_manifest.json,lineage_manifest:stage3b31_independent_evidence_validation_execution_checkpoint,lineage_core,True,True,True,2322,True,2322,True,True
76,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b32_independent_evidence_result_gate_publication_lock.json,lineage_json:stage3b32_independent_evidence_result_gate_publication_lock;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,22598,True,22598,True,True
77,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b32_independent_evidence_result_gate_publication_lock_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,7585,True,7585,True,True
78,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b32_independent_evidence_result_gate_publication_lock_gate_manifest.json,lineage_manifest:stage3b32_independent_evidence_result_gate_publication_lock,lineage_core,True,True,True,2654,True,2654,True,True
79,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b33_external_evidence_publication_claim_lock_addendum.json,lineage_json:stage3b33_external_evidence_publication_claim_lock_addendum;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,16374,True,16374,True,True
80,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b33_external_evidence_publication_claim_lock_addendum_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,6262,True,6262,True,True
81,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b33_external_evidence_publication_claim_lock_addendum_publication_claim_lock.md,replication_high_value_artifact,stage3b34_artifact_manifest_csv,True,True,True,3845,True,3845,True,True
82,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b33_external_evidence_publication_claim_lock_addendum_scope_manifest.json,lineage_manifest:stage3b33_external_evidence_publication_claim_lock_addendum,lineage_core,True,True,True,1985,True,1985,True,True
83,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight.json,core_prev_json;lineage_json:stage3b34_publication_grade_replication_preflight;stage3b34_output:json,lineage_core;stage3b34_outputs;stage3b35_core_requirements,True,True,True,29415,True,29415,True,True
84,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_acceptance.md,stage3b34_output:acceptance_md,stage3b34_outputs,True,True,True,6259,True,6259,True,True
85,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_allowed_internal_statements.csv,stage3b34_output:allowed_internal_statements_csv,stage3b34_outputs,True,True,True,836,True,836,True,True
86,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_artifact_manifest.csv,core_prev_artifact_manifest;stage3b34_output:artifact_manifest_csv,stage3b34_outputs;stage3b35_core_requirements,True,True,True,8345,True,8345,True,True
87,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_blocked_publication_claims.csv,stage3b34_output:blocked_publication_claims_csv,stage3b34_outputs,True,True,True,1008,True,1008,True,True
88,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_evidence_lineage_recap.csv,core_prev_lineage;stage3b34_output:evidence_lineage_recap_csv,stage3b34_outputs;stage3b35_core_requirements,True,True,True,453,True,453,True,True
89,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_independent_reviewer_protocol.md,core_prev_reviewer_protocol;stage3b34_output:independent_reviewer_protocol_md,stage3b34_outputs;stage3b35_core_requirements,True,True,True,986,True,986,True,True
90,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_preflight_manifest.json,core_prev_manifest;lineage_manifest:stage3b34_publication_grade_replication_preflight;stage3b34_output:preflight_manifest,lineage_core;stage3b34_outputs;stage3b35_core_requirements,True,True,True,1786,True,1786,True,True
91,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_replication_checklist.csv,core_prev_replication_checklist;stage3b34_output:replication_checklist_csv,stage3b34_outputs;stage3b35_core_requirements,True,True,True,1459,True,1459,True,True
92,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_replication_preflight_report.md,stage3b34_output:replication_report_md,stage3b34_outputs,True,True,True,1271,True,1271,True,True
93,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_reproducibility_commands.md,core_prev_repro_commands;stage3b34_output:reproducibility_commands_md,stage3b34_outputs;stage3b35_core_requirements,True,True,True,680,True,680,True,True
94,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_reviewer_checklist.csv,core_prev_reviewer_checklist;stage3b34_output:reviewer_checklist_csv,stage3b34_outputs;stage3b35_core_requirements,True,True,True,988,True,988,True,True
95,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_tri_anchor_context.csv,core_prev_tri_anchor;stage3b34_output:tri_anchor_context_csv,stage3b34_outputs;stage3b35_core_requirements,True,True,True,966,True,966,True,True
96,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b34_publication_grade_replication_preflight_tt_lite_publication_scope.md,core_prev_tt_lite;stage3b34_output:tt_lite_publication_scope_md,stage3b34_outputs;stage3b35_core_requirements,True,True,True,432,True,432,True,True
97,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness.json,lineage_json:stage3b9_additional_production_chains_readiness;required_core_stage_artifact,lineage_core;stage3b34_artifact_manifest_csv,True,True,True,43688,True,43688,True,True
98,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_acceptance.md,required_core_stage_artifact,stage3b34_artifact_manifest_csv,True,True,True,8992,True,8992,True,True
99,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_readiness_manifest.json,lineage_manifest:stage3b9_additional_production_chains_readiness,lineage_core,True,True,True,2020,True,2020,True,True
